sample_date,ALDP,ARCH,BHRT,BIRM,BRBR,BRIS,CAMB,CAMC,CVR3,CWAR,DHSC,EKHI,EKHU,EKU,EXET,GSTT,HECH,HSLL,KGHT,LCST,LEED,LIVE,LOND,LSPA,MILK,MTUN,NEWC,NIRE,NORT,NORW,NOTT,OXON,PAHT,PHEC,PHEP,PHES,PHWC,PLYM,PORT,PRIN,QEUH,QHEC,RAND,SGUH,SHEF,TBSD,TFCI,WSDT,WSFT,WST
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,82,0,714,1234,0,0,0,0,0,7,0,52,294,0,0,0,0,155,1130,278,0,0,0,0,0,660,37,246,143,0,2891,0,0,0,0,152,0,0,0,0,0,514,0,0,0,0,0
2020-04-30,0,0,0,73,0,1957,3372,0,0,27,0,0,6,0,241,0,0,0,0,113,312,515,789,0,34,0,0,0,493,483,434,847,0,991,0,0,0,0,323,10,0,0,0,0,880,33,175,0,39,0
2020-05-31,337,0,18,193,0,487,597,0,0,68,0,0,5,0,36,0,57,0,0,21,11,246,27,0,70,3,0,0,423,420,170,70,0,164,0,0,0,0,66,2,186,0,0,0,426,1,68,0,33,0
2020-06-30,4425,0,2,69,0,45,93,0,1,53,0,0,0,0,5,0,11,0,3,117,13,266,11,0,644,0,0,0,69,46,70,4,0,65,0,0,0,0,5,0,95,0,0,0,102,0,6,0,2,0
2020-07-31,736,0,2,57,0,6,18,431,0,0,0,0,30,0,0,0,4,0,0,5,0,83,5,0,563,0,0,0,57,10,22,0,0,31,0,0,0,0,5,0,539,0,0,0,42,0,5,0,2,0
2020-08-31,394,0,3,78,0,18,28,115,0,0,0,0,29,0,0,1,0,0,0,0,0,42,20,0,2213,0,0,0,34,36,11,3,0,26,0,0,0,0,3,0,2084,0,0,0,56,0,4,0,6,0
2020-09-30,3054,30,14,97,0,0,94,658,0,0,0,0,15,0,46,1,0,0,0,1,0,84,68,0,2277,0,0,0,101,48,158,52,0,64,0,0,0,0,24,0,4977,0,0,0,236,0,51,0,62,0
2020-10-31,6318,28,151,243,0,450,443,3118,0,0,0,0,77,0,148,1,7,0,0,0,0,320,205,0,5487,0,0,0,172,337,351,325,0,510,0,4,0,0,288,0,5282,0,0,1,290,0,136,0,73,0
2020-11-30,6768,0,89,364,0,154,643,5390,0,0,0,0,56,0,228,34,0,0,8,4,0,812,860,1,5157,0,0,0,330,507,441,444,0,822,0,18,0,0,258,0,6140,0,0,0,202,0,136,0,129,0
2020-12-31,5505,0,101,252,0,76,511,4808,0,0,0,0,20,0,546,135,0,0,2,50,0,419,2084,0,4483,0,0,0,1047,1041,433,1148,0,1292,1,25,0,0,898,0,4091,0,0,46,811,0,1016,0,4,0
2021-01-31,18923,721,452,398,5,172,833,7116,0,0,0,0,5,0,196,368,0,0,0,16,0,896,3216,7,10975,0,7,0,1571,1008,511,1492,0,2397,1,114,321,1,2381,0,5636,0,1033,238,862,0,998,0,1171,1
2021-02-28,11593,187,139,258,0,455,335,8463,0,0,0,0,133,0,74,92,0,0,0,49,0,475,1032,0,9590,0,0,0,588,266,335,355,28,1268,1,270,1247,0,747,0,9234,0,2576,151,362,0,149,1,659,0
2021-03-31,18509,0,123,358,0,78,107,4602,0,0,0,0,106,1,82,0,0,0,0,59,0,261,253,0,9208,0,0,6,242,48,160,219,31,1460,3,100,577,0,264,0,18210,0,2351,11,318,0,25,0,41,0
2021-04-30,7856,59,54,119,0,0,100,1402,0,0,0,1,19,0,50,0,0,368,0,17,0,128,211,0,6829,0,0,0,925,112,49,82,6,2034,0,77,130,0,101,0,7447,0,1134,8,264,0,12,0,11,0
2021-05-31,14984,12,62,57,0,0,41,0,0,0,0,0,9,0,26,0,0,724,2,9,0,32,157,0,9368,0,0,0,3752,1278,38,63,0,1857,3,8,36,486,33,0,1935,0,247,0,102,0,6,0,10,0
2021-06-30,25679,19,0,312,855,0,1055,0,0,0,0,0,0,0,0,0,0,3187,0,0,0,725,2177,0,17773,0,0,3,2733,1887,358,349,0,6118,506,0,863,7180,794,0,5774,0,34,0,1273,0,5,0,0,0
2021-07-31,16332,158,0,549,9097,0,1174,0,0,0,0,0,0,0,0,0,0,1513,0,0,0,492,1541,135,20420,0,22,1,5141,2785,392,709,0,7795,4046,0,2991,13022,1164,0,14117,0,466,0,1185,0,23,0,0,0
2021-08-31,20641,0,0,0,10168,0,0,0,0,0,0,0,0,0,0,1,0,2211,0,0,0,0,645,428,29891,0,12914,3,2567,2121,0,0,0,13104,2080,0,1371,14123,5,0,13668,0,0,0,0,0,8,0,0,0
2021-09-30,33964,294,0,0,6473,0,1,0,0,0,0,0,0,0,0,0,0,1759,0,0,0,28,852,720,35404,0,12442,5,3250,3425,0,0,0,8317,3533,0,244,8047,0,0,6384,0,0,0,0,0,23,0,0,0
2021-10-31,27763,275,0,0,10271,0,17,0,0,0,0,0,0,0,0,0,0,1194,0,0,0,0,519,585,40088,0,11210,4,3150,5220,0,0,0,7992,7580,0,468,7436,0,0,13722,75,0,0,0,0,74,0,0,0
2021-11-30,36892,376,0,0,15184,0,9,0,0,0,0,0,0,0,0,0,0,1149,0,0,0,0,1215,3522,73194,0,2969,1,5120,4885,0,0,0,3849,5817,0,594,15695,0,0,15923,62,0,0,0,0,46,0,0,0
2021-12-31,32234,312,0,0,12513,0,0,0,0,0,6581,0,2,0,0,0,0,1082,0,0,0,4,1350,16336,84066,0,4847,10,7719,2538,0,0,0,18889,11249,0,1913,10823,1,0,16147,0,0,0,0,0,95,0,0,0
2022-01-31,41384,1140,0,0,16109,0,0,0,0,0,10992,0,0,0,0,1,0,1817,0,0,0,0,988,16225,61655,0,11403,0,10905,4259,0,0,0,22880,4747,0,1212,10711,2,0,20507,0,0,0,0,0,83,0,0,0
2022-02-28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,2,0,0,0,138,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
